Accident_Index,Accident_Severity,Speed_limit,Junction_Detail,Junction_Control,Weather_Conditions,Road_Surface_Conditions,Carriageway_Hazards,Vehicle_Manoeuvre
2005130279705,Slight,30.0,T or staggered junction,Give way or uncontrolled,Fine no high winds,Dry,Other object on road,Going ahead other
2005130328305,Slight,30.0,T or staggered junction,Give way or uncontrolled,Fine no high winds,Dry,Other object on road,Going ahead other
2005130363305,Slight,30.0,More than 4 arms (not roundabout),Auto traffic signal,Fine no high winds,Dry,Pedestrian in carriageway - not injured,Going ahead right-hand bend
2005130363305,Slight,30.0,More than 4 arms (not roundabout),Auto traffic signal,Fine no high winds,Dry,Pedestrian in carriageway - not injured,Going ahead right-hand bend
2005130363905,Slight,40.0,Other junction,Stop sign,Fine no high winds,Dry,Other object on road,Parked
2005130368305,Slight,30.0,T or staggered junction,Give way or uncontrolled,Fine no high winds,Dry,Pedestrian in carriageway - not injured,Going ahead other
2005130445005,Slight,30.0,Other junction,Give way or uncontrolled,Fine no high winds,Dry,Other object on road,Slowing or stopping
2005130519405,Slight,30.0,Private drive or entrance,Give way or uncontrolled,Fine no high winds,Dry,Other object on road,Going ahead other
2005130540405,Slight,30.0,T or staggered junction,Give way or uncontrolled,Fine no high winds,Dry,Other object on road,Going ahead other
2005130577205,Serious,30.0,T or staggered junction,Give way or uncontrolled,Fine no high winds,Dry,Other object on road,Going ahead other
2005130604205,Slight,30.0,More than 4 arms (not roundabout),Auto traffic signal,Raining no high winds,Wet or damp,Other object on road,Going ahead other
2005130616105,Slight,30.0,T or staggered junction,Give way or uncontrolled,Fine no high winds,Dry,Previous accident,Slowing or stopping
2005130616105,Slight,30.0,T or staggered junction,Give way or uncontrolled,Fine no high winds,Dry,Previous accident,Going ahead other
2005130793105,Serious,40.0,T or staggered junction,Auto traffic signal,Fine no high winds,Dry,Any animal in carriageway (except ridden horse),Going ahead other
2005130872205,Slight,40.0,T or staggered junction,Give way or uncontrolled,Fine no high winds,Dry,Other object on road,Turning left
2005130892205,Slight,30.0,Crossroads,Auto traffic signal,Fine no high winds,Dry,Pedestrian in carriageway - not injured,Moving off
2005131083105,Fatal,70.0,Slip road,Give way or uncontrolled,Fine no high winds,Wet or damp,Other object on road,Parked
2005131083105,Fatal,70.0,Slip road,Give way or uncontrolled,Fine no high winds,Wet or damp,Other object on road,Going ahead other
2005131153305,Slight,30.0,T or staggered junction,Give way or uncontrolled,Fine no high winds,Dry,Other object on road,Going ahead other
2005131204505,Serious,70.0,Slip road,Give way or uncontrolled,Fine no high winds,Wet or damp,Other object on road,Parked
2005131204505,Serious,70.0,Slip road,Give way or uncontrolled,Fine no high winds,Wet or damp,Other object on road,Going ahead other
2005131211905,Slight,30.0,More than 4 arms (not roundabout),Auto traffic signal,Raining no high winds,Wet or damp,Pedestrian in carriageway - not injured,Going ahead other
2005131218105,Slight,30.0,T or staggered junction,Give way or uncontrolled,Fine no high winds,Dry,Pedestrian in carriageway - not injured,Going ahead other
2005131218105,Slight,30.0,T or staggered junction,Give way or uncontrolled,Fine no high winds,Dry,Pedestrian in carriageway - not injured,Going ahead other
2005131223105,Slight,30.0,T or staggered junction,Auto traffic signal,Fine no high winds,Dry,Other object on road,Going ahead other
200514A024005,Slight,40.0,T or staggered junction,Give way or uncontrolled,Fine no high winds,Wet or damp,Pedestrian in carriageway - not injured,Going ahead other
200514A086105,Slight,40.0,T or staggered junction,Auto traffic signal,Fine no high winds,Wet or damp,Other object on road,Slowing or stopping
200514A203605,Slight,40.0,Roundabout,Give way or uncontrolled,Raining no high winds,Wet or damp,Vehicle load on road,Waiting to go - held up
200514A204305,Slight,30.0,Crossroads,Give way or uncontrolled,Fine no high winds,Dry,Vehicle load on road,Going ahead other
200514A220205,Slight,30.0,T or staggered junction,Give way or uncontrolled,Fine no high winds,Dry,Other object on road,Going ahead other
200514A244605,Slight,40.0,Slip road,Give way or uncontrolled,Raining no high winds,Wet or damp,Other object on road,Going ahead other
200514A244605,Slight,40.0,Slip road,Give way or uncontrolled,Raining no high winds,Wet or damp,Other object on road,Going ahead other
200514A244605,Slight,40.0,Slip road,Give way or uncontrolled,Raining no high winds,Wet or damp,Other object on road,Going ahead other
200514B069605,Slight,30.0,T or staggered junction,Give way or uncontrolled,Fine no high winds,Dry,Other object on road,Parked
200514D015305,Slight,30.0,T or staggered junction,Give way or uncontrolled,Raining no high winds,Wet or damp,Other object on road,Parked
200514D078305,Slight,30.0,Private drive or entrance,Give way or uncontrolled,Fine no high winds,Dry,Other object on road,Overtaking static vehicle - offside
200514D090505,Serious,30.0,More than 4 arms (not roundabout),Auto traffic signal,Fine no high winds,Dry,Other object on road,Going ahead other
200514D118305,Slight,30.0,T or staggered junction,Give way or uncontrolled,Fine no high winds,Dry,Other object on road,Going ahead other
200514D118505,Slight,30.0,T or staggered junction,Auto traffic signal,Fine no high winds,Dry,Other object on road,Waiting to go - held up
200514D133505,Slight,30.0,Private drive or entrance,Give way or uncontrolled,Fine no high winds,Dry,Other object on road,Moving off
200514D144205,Serious,40.0,T or staggered junction,Give way or uncontrolled,Raining no high winds,Flood over 3cm. deep,Other object on road,Turning right
200514D144205,Serious,40.0,T or staggered junction,Give way or uncontrolled,Raining no high winds,Flood over 3cm. deep,Other object on road,Turning right
200514D144405,Slight,40.0,More than 4 arms (not roundabout),Give way or uncontrolled,Raining no high winds,Wet or damp,Other object on road,Overtaking moving vehicle - offside
